,Name,Taste,Type,Function,Effect
249,王不留行,苦、平,肝、胃,活血、通经、下乳、消肿、利尿、通淋,活血、通经、下乳、消肿、利尿、通淋
250,凌霄花,酸、寒,肝,活血、凉血、祛风,活血、凉血、祛风
251,虎杖,苦、寒,肝、胆,活血、通络、利湿、退黄、清热、解毒,活血、通络、利湿、退黄、清热、解毒
252,红藤,苦、平,大肠、肝,活血、散瘀、清热、解毒,活血、散瘀、清热、解毒
253,马鞭草,苦、凉,肝、脾,活血、散瘀、利水消肿截疟、解毒,活血、散瘀、利水消肿截疟、解毒
254,自然铜,辛、平,肝、肾,散瘀、止痛、,散瘀、止痛、
255,苏木,甘、咸、平,心、肝,、祛瘀、消肿、止痛,、祛瘀、消肿、止痛
256,刘寄奴,苦、辛、微温,心、肝、脾,破血、通经、散瘀、止痛、消食、,破血、通经、散瘀、止痛、消食、
257,水红花子,咸、微辛、微寒,肝、胃,消瘀、健脾、利湿,消瘀、健脾、利湿
258,皂角刺,辛、温,肝、胃,消肿、排脓、祛风、杀虫,消肿、排脓、祛风、杀虫
259,莪术,辛、苦、温,肝、脾,破血、行气、消积、止痛,破血、行气、消积、止痛
260,三棱,辛、苦、平,肝、脾,破血、行气、消积、止痛,破血、行气、消积、止痛
261,水蛭,咸、苦、平,有毒,破血、通经,破血、通经
262,虻虫,苦、寒,有小毒,破血、散结,破血、散结
263,穿山甲,咸、微寒、归肝、胃经,煎服、3～10克,通经、下乳、活血、散结、消肿、排脓、搜风、通络,通经、下乳、活血、散结、消肿、排脓、搜风、通络
264,蜣螂,咸、寒,有毒,、定惊、通便、攻毒,、定惊、通便、攻毒
265,土鳖虫,咸、寒,有小毒,破血、,破血、
266,干漆,辛、苦、温,有小毒,、通经、杀虫,、通经、杀虫
267,朱砂,甘、微寒,有毒,、安神、清热、解毒,、安神、清热、解毒
268,磁石,辛、咸、寒,肝、心、肾,平肝、潜阳、安神、镇惊、明目、纳气、,平肝、潜阳、安神、镇惊、明目、纳气、
269,龙骨,甘、涩、微寒,心、肝,平肝、潜阳、镇惊、安神、收敛、,平肝、潜阳、镇惊、安神、收敛、
270,琥珀,甘、平,心、肝、膀胱,定惊、安神、活血、散瘀、利尿、通淋,定惊、安神、活血、散瘀、利尿、通淋
271,龙齿,涩、凉、归心、肝经,煎服、10～15克、宜先煎,镇惊、安神、除烦,镇惊、安神、除烦
272,紫石英,甘、温,心、肺、肾,、安神、,、安神、
273,云母,甘、温,心、肝、脾,、安神、祛痰、止泻、止血、敛疮,、安神、祛痰、止泻、止血、敛疮
274,珍珠,甘、咸、寒,心、肝,安神、定惊、清肝、明目、解毒、生肌,安神、定惊、清肝、明目、解毒、生肌
275,蛇含石,甘、寒,心包、肝,镇惊、安神、止血、,镇惊、安神、止血、
276,酸枣仁,甘、涩、微寒,心、肝,平肝、潜阳、安神、收敛、,平肝、潜阳、安神、收敛、
277,柏子仁,甘、平,心、肾、大肠,、安神、润肠、通便,、安神、润肠、通便
278,合欢皮,甘、平,心、肝,安神、解郁、活血、消肿,安神、解郁、活血、消肿
279,远志,苦、辛、温,心、肺,、安神、祛痰、消痈、散结,、安神、祛痰、消痈、散结
280,茯神,甘、淡、平,心,、安神、利水,、安神、利水
281,夜交藤,甘、微苦、平,心、肝,、安神、祛风、通络,、安神、祛风、通络
282,秫米,甘、微寒,肺、大肠,和胃安神,和胃安神
283,人参,甘、微苦、微温,脾、肺,益气、健脾、生津、润肺,益气、健脾、生津、润肺
284,西洋参,苦、微甘、寒,心、肺、肾,、养阴、清热、生津,、养阴、清热、生津
285,党参,甘、平,脾、肺,、益气、生津,、益气、生津
286,太子参,甘、微苦、平,脾、肺,益气、健脾、生津、润肺,益气、健脾、生津、润肺
287,黄芪,甘、微温,脾、肺,、生肌、利水、消肿,、生肌、利水、消肿
